[nikhil@arch-nsk 2-Birthday Paradox]$ java VerifyBirthdayParadox
  people        probablity    experimental value
       1          0.000000              0.000000
       2          0.002740              0.003000
       3          0.008204              0.007000
       4          0.016356              0.017000
       5          0.027136              0.026000
       6          0.040462              0.032000
       7          0.056236              0.048000
       8          0.074335              0.066000
       9          0.094624              0.078000
      10          0.116948              0.127000
      11          0.141141              0.133000
      12          0.167025              0.166000
      13          0.194410              0.184000
      14          0.223103              0.232000
      15          0.252901              0.253000
      16          0.283604              0.283000
      17          0.315008              0.310000
      18          0.346911              0.364000
      19          0.379119              0.365000
      20          0.411438              0.405000
      21          0.443688              0.433000
      22          0.475695              0.468000
      23          0.507297              0.488000
      24          0.538344              0.555000
      25          0.568700              0.557000
      26          0.598241              0.603000
      27          0.626859              0.603000
      28          0.654461              0.645000
      29          0.680969              0.696000
      30          0.706316              0.666000
      31          0.730455              0.704000
      32          0.753348              0.758000
      33          0.774972              0.775000
      34          0.795317              0.791000
      35          0.814383              0.827000
      36          0.832182              0.852000
      37          0.848734              0.854000
      38          0.864068              0.853000
      39          0.878220              0.876000
      40          0.891232              0.886000
      41          0.903152              0.899000
      42          0.914030              0.910000
      43          0.923923              0.931000
      44          0.932885              0.922000
      45          0.940976              0.934000
      46          0.948253              0.947000
      47          0.954774              0.950000
      48          0.960598              0.961000
      49          0.965780              0.969000
      50          0.970374              0.974000
      51          0.974432              0.972000
      52          0.978005              0.975000
      53          0.981138              0.984000
      54          0.983877              0.983000
      55          0.986262              0.985000
      56          0.988332              0.986000
      57          0.990122              0.990000
      58          0.991665              0.996000
      59          0.992989              0.996000
      60          0.994123              0.993000
      61          0.995089              0.994000
      62          0.995910              0.995000
      63          0.996604              0.999000
      64          0.997190              0.996000
      65          0.997683              0.996000
      66          0.998096              0.999000
      67          0.998440              1.000000
      68          0.998726              1.000000
      69          0.998964              1.000000
      70          0.999160              1.000000
      71          0.999321              0.999000
      72          0.999453              0.999000
      73          0.999561              1.000000
      74          0.999649              1.000000
      75          0.999720              1.000000
      76          0.999777              1.000000
      77          0.999824              1.000000
      78          0.999861              1.000000
      79          0.999891              1.000000
      80          0.999914              1.000000
      81          0.999933              1.000000
      82          0.999948              1.000000
      83          0.999960              1.000000
      84          0.999969              1.000000
      85          0.999976              1.000000
      86          0.999982              1.000000
      87          0.999986              1.000000
      88          0.999989              1.000000
      89          0.999992              1.000000
      90          0.999994              1.000000
      91          0.999995              1.000000
      92          0.999997              1.000000
      93          0.999997              1.000000
      94          0.999998              1.000000
      95          0.999999              1.000000
      96          0.999999              1.000000
      97          0.999999              1.000000
      98          0.999999              1.000000
      99          1.000000              1.000000
     100          1.000000              1.000000
     101          1.000000              1.000000
     102          1.000000              1.000000
     103          1.000000              1.000000
     104          1.000000              1.000000
     105          1.000000              1.000000
     106          1.000000              1.000000
     107          1.000000              1.000000
     108          1.000000              1.000000
     109          1.000000              1.000000
     110          1.000000              1.000000
     111          1.000000              1.000000
     112          1.000000              1.000000
     113          1.000000              1.000000
     114          1.000000              1.000000
     115          1.000000              1.000000
     116          1.000000              1.000000
     117          1.000000              1.000000
     118          1.000000              1.000000
     119          1.000000              1.000000
     120          1.000000              1.000000
     121          1.000000              1.000000
     122          1.000000              1.000000
     123          1.000000              1.000000
     124          1.000000              1.000000
     125          1.000000              1.000000
     126          1.000000              1.000000
     127          1.000000              1.000000
     128          1.000000              1.000000
     129          1.000000              1.000000
     130          1.000000              1.000000
     131          1.000000              1.000000
     132          1.000000              1.000000
     133          1.000000              1.000000
     134          1.000000              1.000000
     135          1.000000              1.000000
     136          1.000000              1.000000
     137          1.000000              1.000000
     138          1.000000              1.000000
     139          1.000000              1.000000
     140          1.000000              1.000000
     141          1.000000              1.000000
     142          1.000000              1.000000
     143          1.000000              1.000000
     144          1.000000              1.000000
     145          1.000000              1.000000
     146          1.000000              1.000000
     147          1.000000              1.000000
     148          1.000000              1.000000
     149          1.000000              1.000000
     150          1.000000              1.000000
     151          1.000000              1.000000
     152          1.000000              1.000000
     153          1.000000              1.000000
     154          1.000000              1.000000
     155          1.000000              1.000000
     156          1.000000              1.000000
     157          1.000000              1.000000
     158          1.000000              1.000000
     159          1.000000              1.000000
     160          1.000000              1.000000
     161          1.000000              1.000000
     162          1.000000              1.000000
     163          1.000000              1.000000
     164          1.000000              1.000000
     165          1.000000              1.000000
     166          1.000000              1.000000
     167          1.000000              1.000000
     168          1.000000              1.000000
     169          1.000000              1.000000
     170          1.000000              1.000000
     171          1.000000              1.000000
     172          1.000000              1.000000
     173          1.000000              1.000000
     174          1.000000              1.000000
     175          1.000000              1.000000
     176          1.000000              1.000000
     177          1.000000              1.000000
     178          1.000000              1.000000
     179          1.000000              1.000000
     180          1.000000              1.000000
     181          1.000000              1.000000
     182          1.000000              1.000000
     183          1.000000              1.000000
     184          1.000000              1.000000
     185          1.000000              1.000000
     186          1.000000              1.000000
     187          1.000000              1.000000
     188          1.000000              1.000000
     189          1.000000              1.000000
     190          1.000000              1.000000
     191          1.000000              1.000000
     192          1.000000              1.000000
     193          1.000000              1.000000
     194          1.000000              1.000000
     195          1.000000              1.000000
     196          1.000000              1.000000
     197          1.000000              1.000000
     198          1.000000              1.000000
     199          1.000000              1.000000
     200          1.000000              1.000000
     201          1.000000              1.000000
     202          1.000000              1.000000
     203          1.000000              1.000000
     204          1.000000              1.000000
     205          1.000000              1.000000
     206          1.000000              1.000000
     207          1.000000              1.000000
     208          1.000000              1.000000
     209          1.000000              1.000000
     210          1.000000              1.000000
     211          1.000000              1.000000
     212          1.000000              1.000000
     213          1.000000              1.000000
     214          1.000000              1.000000
     215          1.000000              1.000000
     216          1.000000              1.000000
     217          1.000000              1.000000
     218          1.000000              1.000000
     219          1.000000              1.000000
     220          1.000000              1.000000
     221          1.000000              1.000000
     222          1.000000              1.000000
     223          1.000000              1.000000
     224          1.000000              1.000000
     225          1.000000              1.000000
     226          1.000000              1.000000
     227          1.000000              1.000000
     228          1.000000              1.000000
     229          1.000000              1.000000
     230          1.000000              1.000000
     231          1.000000              1.000000
     232          1.000000              1.000000
     233          1.000000              1.000000
     234          1.000000              1.000000
     235          1.000000              1.000000
     236          1.000000              1.000000
     237          1.000000              1.000000
